[Table3D]
0.25	0.43	0.62	0.80	0.98	1.17	1.35	1.56	1.76	1.97	2.17	2.38	2.58	2.79	2.99	3.20
700	16.91	16.91	16.56	15.16	8.48	0.74	-3.12	-4.88	-4.88	-4.88	-4.88	-4.88	-4.88	-4.88	-4.88	-5.23
800	16.91	16.91	16.91	17.97	11.99	4.61	-0.66	-3.48	-3.83	-3.83	-3.83	-3.83	-3.83	-3.83	-3.83	-4.18
1200	16.91	17.62	21.13	21.13	17.97	9.88	6.37	3.20	1.80	0.74	-1.02	-2.42	-3.12	-3.12	-3.12	-3.48
1600	19.02	24.65	28.16	27.81	23.95	16.21	11.29	7.77	5.66	3.91	2.15	0.74	0.04	0.04	0.04	-0.31
2000	26.05	31.68	33.79	33.79	29.92	23.24	16.91	10.94	8.12	6.37	3.91	1.80	1.09	1.09	1.09	0.74
2400	33.09	38.36	39.41	39.06	34.49	25.00	20.78	14.10	10.94	8.83	6.72	3.91	2.50	1.80	1.80	1.45
2800	39.77	40.12	39.41	38.36	35.55	28.16	21.84	14.45	11.64	9.18	7.42	6.02	4.26	3.55	3.55	3.91
3200	40.12	40.12	40.12	39.06	35.90	30.62	24.30	17.27	12.70	10.59	8.83	7.42	6.02	5.31	4.96	4.96
3600	40.12	40.12	41.52	40.12	35.90	31.68	26.76	19.38	14.45	11.64	9.53	8.48	6.72	6.02	5.31	5.31
4000	40.12	40.12	42.93	41.17	36.95	32.03	27.11	19.73	15.16	12.34	10.59	9.88	7.42	6.37	5.66	5.66
4400	40.12	40.12	45.04	41.88	38.01	32.73	27.81	19.73	15.51	13.75	11.64	10.23	7.77	7.07	6.37	6.02
4800	40.12	40.12	45.04	42.93	39.06	33.44	28.16	20.08	18.67	14.45	12.70	10.94	9.53	8.48	8.12	7.77
5200	40.12	40.12	45.04	44.34	40.12	35.55	29.22	22.19	18.67	15.16	13.75	11.64	10.59	9.53	8.83	8.48
5600	40.12	40.12	45.04	44.69	41.17	35.20	30.62	24.65	18.67	15.86	13.75	11.99	10.94	10.23	9.88	9.53
6000	40.12	40.12	45.04	44.69	41.88	36.60	35.20	24.65	20.78	16.21	14.10	13.05	11.99	11.29	10.23	9.88
6400	40.12	40.12	45.04	44.69	43.98	40.47	38.36	30.98	23.95	17.97	15.86	15.16	14.80	13.05	11.99	11.64
6600	40.12	40.12	45.04	44.69	43.98	43.63	40.47	33.44	26.05	19.02	18.67	16.56	16.21	14.45	13.40	13.05
7000	40.12	40.12	45.04	44.69	43.98	43.63	41.17	34.49	26.05	20.78	19.02	16.91	16.91	15.51	14.10	13.75
